Вектор Мощи,Скорость перехода через портал,Приток Силы Потока,Ритм магического ядра,Поток Энергий,Сила Левого Потока,Сила Правого Потока,Пламя Стихий,Приток давления Выдоха Истока,Давление выдоха Истока,Печать Чародея,Эмульсия Истока,Дыхание Истока,Гармония Бессмертия,Тип Вектора Мощи
4.161,,14724.616,162.0502605759994,7796.657,113.801,113.801,659.666,1.657,8.989,18.023,0.357,0.95,0.977,Ниже среднего
5.14,7.7166,21636.925,201.5137955730881,8496.61,175.282,175.282,729.497,2.078,11.174,26.26,0.52,0.95,0.977,Выше среднего
6.175,9.25992,29793.328,241.6279544087352,8830.433,246.22,246.22,798.166,2.501,13.328,35.613,0.705,0.95,0.977,Выше среднего
7.148,10.80324,38981.432,280.44851010938913,9133.432,332.108,332.108,852.658,2.962,15.644,45.717,0.905,0.95,0.977,Сильный
8.206,12.34656,50997.566,323.3328206272166,9319.306,438.134,438.134,950.027,3.574,18.589,62.245,1.232,0.95,0.977,Сильный
9.3,13.88988,72764.565,372.844530287302,9780.103,645.076,645.076,1113.985,4.495,22.756,92.342,1.828,0.95,0.977,Сильный
1.138,,1341.723,145.72832538378393,6714.114,10.018,10.018,490.661,1.142,6.185,0.0,0.107,0.95,0.978,Слабый
2.088,3.08664,6895.321,143.13546424702113,6830.317,26.481,26.481,633.651,1.326,7.239,15.319,0.289,0.95,0.978,Слабый
3.144,4.6299600000000005,8379.548,145.22106288998427,7119.575,60.351,60.351,603.509,1.389,7.552,12.983,0.257,0.95,0.978,Ниже среднего
4.161,6.17328,14724.731,162.05036529575457,7798.673,113.797,113.797,658.766,1.657,8.98,17.98,0.356,0.95,0.978,Ниже среднего
5.14,7.7166,21636.973,201.51410973235343,8497.521,175.3,175.3,728.501,2.078,11.162,26.203,0.519,0.95,0.978,Выше среднего
6.175,9.25992,29793.658,241.6266977716737,8831.471,246.288,246.288,797.037,2.5,13.315,35.54,0.704,0.95,0.978,Выше среднего
7.148,10.80324,38981.087,280.4486148291443,9133.933,332.197,332.197,851.618,2.961,15.627,45.636,0.904,0.95,0.978,Сильный
8.206,12.34656,50997.769,323.33449614329857,9319.674,438.052,438.052,948.984,3.574,18.568,62.148,1.23,0.95,0.978,Сильный
9.3,13.88988,72765.436,372.8447397268122,9780.887,645.04,645.04,1113.084,4.494,22.729,92.235,1.826,0.95,0.978,Сильный
1.138,1.54332,1836.145,146.99658633803807,6725.143,10.747,10.747,505.147,1.163,6.293,0.0,0.124,0.95,0.979,Слабый
2.088,3.08664,6846.147,142.86602031709825,6831.294,26.018,26.018,632.165,1.324,7.222,16.581,0.288,0.95,0.979,Слабый
3.144,4.6299600000000005,8379.616,145.22116760973938,7122.162,60.358,60.358,602.68,1.388,7.544,12.949,0.256,0.95,0.979,Ниже среднего
4.161,,14724.795,162.0504700155097,7800.688,113.791,113.791,657.869,1.657,8.971,17.937,0.355,0.95,0.979,Ниже среднего
5.14,7.7166,21637.374,201.51410973235343,8498.442,175.283,175.283,727.51,2.077,11.151,26.147,0.518,0.95,0.979,Выше среднего
6.175,9.25992,29793.951,241.6252316951021,8832.506,246.254,246.254,795.911,2.5,13.301,35.467,0.702,0.95,0.979,Выше среднего
7.148,10.80324,38980.696,280.44851010938913,9134.434,332.154,332.154,850.58,2.961,15.61,45.555,0.902,0.95,0.979,Сильный
8.206,12.34656,50997.922,323.3355433408497,9320.04,437.996,437.996,947.943,3.573,18.547,62.051,1.228,0.95,0.979,Сильный
9.3,13.88988,72766.645,372.8447397268122,9781.672,644.879,644.879,1112.188,4.493,22.701,92.129,1.824,0.95,0.979,Сильный
1.138,1.54332,2208.183,147.6641747769259,6732.248,11.143,11.143,515.967,1.178,6.372,0.0,0.136,0.95,0.98,Слабый
2.088,,6838.593,142.92110290829118,6834.172,26.113,26.113,630.902,1.324,7.214,16.216,0.287,0.95,0.98,Слабый
3.144,4.6299600000000005,8379.729,145.22116760973938,7124.753,60.361,60.361,601.855,1.388,7.537,12.915,0.256,0.95,0.98,Ниже среднего
4.161,6.17328,14724.872,162.0504700155097,7802.704,113.798,113.798,656.974,1.656,8.962,17.894,0.354,0.95,0.98,Ниже среднего
5.14,7.7166,21637.135,201.51452861137392,8499.345,175.329,175.329,726.517,2.077,11.139,26.09,0.516,0.95,0.98,Выше среднего
6.175,,29794.302,241.62449865681623,8833.546,246.236,246.236,794.789,2.5,13.287,35.393,0.701,0.95,0.98,Выше среднего
7.148,10.80324,38980.287,280.4487195488994,9134.934,332.194,332.194,849.545,2.96,15.592,45.473,0.9,0.95,0.98,Сильный
8.206,12.34656,50998.05,323.3362763791356,9320.404,438.004,438.004,946.906,3.572,18.525,61.954,1.226,0.95,0.98,Сильный
9.3,13.88988,72767.018,372.84547276509807,9782.442,644.844,644.844,1111.29,4.492,22.674,92.023,1.822,0.95,0.98,Сильный
1.138,1.54332,2951.927,148.4065331209692,6740.109,11.583,11.583,538.322,1.207,6.528,0.0,0.162,0.95,0.981,Слабый
2.088,3.08664,6804.076,142.81240380247698,6836.062,25.915,25.915,629.367,1.323,7.2,16.701,0.286,0.95,0.981,Слабый
3.144,,8379.829,145.22127232949452,7127.343,60.364,60.364,601.03,1.388,7.53,12.881,0.255,0.95,0.981,Ниже среднего
4.161,6.17328,14724.969,162.0505747352648,7804.726,113.802,113.802,656.081,1.656,8.953,17.852,0.353,0.95,0.981,Ниже среднего
5.14,7.7166,21637.62,201.51463333112903,8500.268,175.336,175.336,725.531,2.077,11.128,26.034,0.515,0.95,0.981,Выше среднего
6.175,9.25992,29794.58,241.62303258024457,8834.58,246.315,246.315,793.671,2.499,13.273,35.321,0.699,0.95,0.981,Выше среднего
7.148,10.80324,38979.934,280.4487195488994,9135.434,332.058,332.058,848.513,2.96,15.575,45.392,0.899,0.95,0.981,Сильный
8.206,12.34656,50998.096,323.3365905384009,9320.766,438.054,438.054,945.871,3.571,18.504,61.857,1.225,0.95,0.981,Сильный
9.3,13.88988,72767.717,372.84599636387367,9783.213,644.801,644.801,1110.396,4.49,22.647,91.917,1.82,0.95,0.981,Сильный
1.138,1.54332,3774.812,148.5853944627136,6744.353,11.699,11.699,562.543,1.236,6.688,0.0,0.191,0.95,0.982,Слабый
2.088,3.08664,6606.714,142.30660738524904,6835.649,25.032,25.032,624.597,1.316,7.155,18.868,0.282,0.95,0.982,Слабый
3.144,4.6299600000000005,8379.928,145.22127232949452,7129.934,60.365,60.365,600.208,1.388,7.522,12.847,0.254,0.95,0.982,Ниже среднего
4.161,6.17328,14725.068,162.0506794550199,7806.748,113.794,113.794,655.19,1.656,8.943,17.809,0.353,0.95,0.982,Ниже среднего
5.14,7.7166,21637.728,201.5148427706393,8501.181,175.288,175.288,724.546,2.076,11.116,25.977,0.514,0.95,0.982,Выше среднего
6.175,9.25992,29794.844,241.621671223428,8835.613,246.246,246.246,792.556,2.499,13.259,35.248,0.698,0.95,0.982,Выше среднего
7.148,10.80324,38979.558,280.4487195488994,9135.933,332.152,332.152,847.483,2.959,15.558,45.312,0.897,0.95,0.982,Сильный
8.206,12.34656,50998.04,323.3365905384009,9321.126,438.031,438.031,944.838,3.57,18.482,61.761,1.223,0.95,0.982,Сильный
9.3,13.88988,72768.206,372.8466246824044,9783.976,644.965,644.965,1109.503,4.489,22.619,91.811,1.817,0.95,0.982,Сильный
1.138,1.54332,4053.735,148.480779427349,6746.47,11.648,11.648,570.474,1.245,6.73,0.0,0.2,0.95,0.983,Слабый
2.088,3.08664,6563.076,142.23393187519596,6837.777,24.908,24.908,622.744,1.314,7.139,19.074,0.28,0.95,0.983,Слабый
3.144,4.6299600000000005,8380.079,145.2213770492496,7132.53,60.363,60.363,599.387,1.388,7.515,12.813,0.254,0.95,0.983,Ниже среднего
4.161,6.17328,14725.087,162.0506794550199,7808.765,113.802,113.802,654.301,1.656,8.934,17.767,0.352,0.95,0.983,Ниже среднего
5.14,7.7166,21637.989,201.5149474903944,8502.099,175.321,175.321,723.564,2.076,11.105,25.921,0.513,0.95,0.983,Выше среднего
6.175,9.25992,29795.241,241.6210429048973,8836.655,246.255,246.255,791.444,2.499,13.246,35.176,0.696,0.95,0.983,Выше среднего
7.148,10.80324,38979.213,280.4488242686545,9136.433,332.045,332.045,846.457,2.958,15.541,45.231,0.896,0.95,0.983,Сильный
8.206,12.34656,50997.94,323.3362763791356,9321.484,438.004,438.004,943.809,3.569,18.461,61.664,1.221,0.95,0.983,Сильный
9.3,13.88988,72768.423,372.8474624404453,9784.732,645.029,645.029,1108.612,4.488,22.592,91.705,1.815,0.95,0.983,Сильный
1.138,1.54332,5449.868,147.4290789266823,6743.278,11.046,11.046,610.426,1.288,6.975,0.0,0.249,0.95,0.984,Слабый
2.088,3.08664,6491.693,142.07622392398576,6839.411,24.629,24.629,620.37,1.311,7.118,19.526,0.278,0.95,0.984,Слабый
3.144,4.6299600000000005,8380.141,145.22148176900473,7135.12,60.365,60.365,598.568,1.388,7.508,12.78,0.253,0.95,0.984,Ниже среднего
4.161,6.17328,14725.17,162.050784174775,7810.79,113.792,113.792,653.415,1.656,8.925,17.724,0.351,0.95,0.984,Ниже среднего
5.14,7.7166,21638.127,201.51515692990463,8503.014,175.304,175.304,722.583,2.076,11.093,25.865,0.512,0.95,0.984,Выше среднего
6.175,9.25992,29795.502,241.61989098759105,8837.687,246.333,246.333,790.336,2.498,13.232,35.103,0.695,0.95,0.984,Выше среднего
7.148,10.80324,38978.773,280.4487195488994,9136.933,332.181,332.181,845.431,2.958,15.524,45.15,0.894,0.95,0.984,Сильный
8.206,12.34656,50997.82,323.33617165938045,9321.842,438.067,438.067,942.782,3.568,18.44,61.568,1.219,0.95,0.984,Сильный
9.3,13.88988,72770.382,372.8464152428941,9785.504,644.892,644.892,1107.732,4.487,22.565,91.601,1.813,0.95,0.984,Сильный
1.138,1.54332,6303.74,146.2925554243686,6739.385,10.4,10.4,634.168,1.312,7.11,0.0,0.278,0.95,0.985,Слабый
2.088,3.08664,6420.429,141.97747319490793,6841.396,24.465,24.465,617.954,1.309,7.101,20.263,0.276,0.95,0.985,Слабый
3.144,4.6299600000000005,8380.258,145.22148176900473,7137.715,60.371,60.371,597.75,1.388,7.501,12.746,0.252,0.95,0.985,Ниже среднего
4.161,6.17328,14725.326,162.050784174775,7812.823,113.806,113.806,652.531,1.655,8.916,17.682,0.35,0.95,0.985,Ниже среднего
5.14,7.7166,21638.294,201.5153663694149,8503.93,175.328,175.328,721.606,2.076,11.082,25.809,0.511,0.95,0.985,Выше среднего
6.175,9.25992,29795.876,241.61926266906028,8838.727,246.256,246.256,789.231,2.498,13.218,35.031,0.694,0.95,0.985,Выше среднего
7.148,10.80324,38978.199,280.4480912303687,9137.443,332.044,332.044,844.398,2.957,15.507,45.07,0.892,0.95,0.985,Сильный
8.206,,50997.702,323.3359622198702,9322.199,437.99,437.99,941.759,3.567,18.419,61.472,1.217,0.95,0.985,Сильный
9.3,13.88988,72771.461,372.8464152428941,9786.262,644.815,644.815,1106.85,4.485,22.538,91.496,1.811,0.95,0.985,Сильный
1.138,1.54332,7325.655,143.98893025124636,6728.644,9.099,9.099,666.257,1.334,7.245,4.989,0.322,0.95,0.986,Слабый
2.088,3.08664,6310.331,141.82688618704586,6843.08,24.201,24.201,614.503,1.305,7.074,20.679,0.272,0.95,0.986,Слабый
3.144,4.6299600000000005,8380.39,145.22158648875984,7140.311,60.369,60.369,596.935,1.388,7.493,12.712,0.252,0.95,0.986,Ниже среднего
4.161,6.17328,14725.397,162.05088889453015,7814.85,113.784,113.784,651.649,1.655,8.907,17.64,0.349,0.95,0.986,Ниже среднего
5.14,7.7166,21638.498,201.51547108917,8504.847,175.3,175.3,720.631,2.075,11.071,25.754,0.51,0.95,0.986,Выше среднего
6.175,9.25992,29796.172,241.6182154715091,8839.761,246.337,246.337,788.13,2.497,13.205,34.959,0.692,0.95,0.986,Выше среднего
7.148,,38977.811,280.44777707110336,9137.95,332.138,332.138,843.367,2.957,15.49,44.989,0.891,0.95,0.986,Сильный
8.206,12.34656,50997.591,323.33575278036,9322.556,437.99,437.99,940.739,3.566,18.398,61.376,1.215,0.95,0.986,Сильный
9.3,,72771.813,372.8472530009351,9787.008,644.825,644.825,1105.967,4.484,22.511,91.391,1.809,0.95,0.986,Сильный
1.138,1.54332,7456.772,142.77816044255283,6723.993,8.435,8.435,672.064,1.334,7.246,11.382,0.333,0.95,0.987,Слабый
2.088,3.08664,6089.628,141.55796585589857,6844.03,23.732,23.732,608.51,1.298,7.027,21.587,0.266,0.95,0.987,Слабый
3.144,4.6299600000000005,8380.489,145.22158648875984,7142.906,60.376,60.376,596.121,1.387,7.486,12.678,0.251,0.95,0.987,Ниже среднего
4.161,6.17328,14725.441,162.05099361428526,7816.877,113.809,113.809,650.769,1.655,8.898,17.598,0.348,0.95,0.987,Ниже среднего
5.14,7.7166,21638.563,201.51578524843532,8505.76,175.334,175.334,719.658,2.075,11.059,25.698,0.509,0.95,0.987,Выше среднего
6.175,9.25992,29796.443,241.6173777134681,8840.795,246.268,246.268,787.032,2.497,13.191,34.887,0.691,0.95,0.987,Выше среднего
7.148,10.80324,38977.355,280.44777707110336,9138.456,332.161,332.161,842.338,2.956,15.473,44.908,0.889,0.95,0.987,Сильный
8.206,12.34656,50997.502,323.3354386210947,9322.912,438.025,438.025,939.722,3.566,18.376,61.281,1.213,0.95,0.987,Сильный
9.3,13.88988,72772.94,372.8466246824044,9787.758,645.069,645.069,1105.089,4.483,22.484,91.287,1.807,0.95,0.987,Сильный
1.138,1.54332,6810.551,139.67887457003138,6707.429,6.756,6.756,661.708,1.308,7.107,25.58,0.328,0.95,0.988,Слабый
2.088,3.08664,6169.829,141.67975493110274,6847.342,23.94,23.94,609.547,1.301,7.037,21.312,0.267,0.95,0.988,Слабый
3.144,4.6299600000000005,8380.543,145.22169120851498,7145.498,60.364,60.364,595.308,1.387,7.479,12.645,0.25,0.95,0.988,Ниже среднего
4.161,6.17328,14725.555,162.05099361428526,7818.911,113.809,113.809,649.892,1.655,8.889,17.556,0.348,0.95,0.988,Ниже среднего
5.14,,21638.709,201.5159946879456,8506.676,175.299,175.299,718.687,2.075,11.048,25.642,0.508,0.95,0.988,Выше среднего
6.175,9.25992,29796.753,241.6167493949374,8841.83,246.297,246.297,785.938,2.497,13.177,34.816,0.689,0.95,0.988,Выше среднего
7.148,10.80324,38977.062,280.4475676315932,9138.963,332.158,332.158,841.313,2.955,15.456,44.828,0.888,0.95,0.988,Сильный
8.206,12.34656,50997.385,323.3352291815844,9323.267,438.127,438.127,938.707,3.565,18.355,61.186,1.211,0.95,0.988,Сильный
9.3,13.88988,72773.589,372.8472530009351,9788.5,645.021,645.021,1104.213,4.482,22.457,91.183,1.805,0.95,0.988,Сильный
1.138,1.54332,4893.243,137.47096325308848,6695.191,5.598,5.598,615.36,1.249,6.769,33.173,0.278,0.95,0.989,Слабый
2.088,3.08664,5864.141,141.35491425072152,6847.962,23.383,23.383,601.383,1.291,6.975,22.212,0.258,0.95,0.989,Слабый
3.144,4.6299600000000005,8380.698,145.22179592827013,7148.098,60.366,60.366,594.498,1.387,7.472,12.611,0.25,0.95,0.989,Ниже среднего
4.161,6.17328,14725.621,162.05109833404038,7820.943,113.813,113.813,649.017,1.655,8.881,17.514,0.347,0.95,0.989,Ниже среднего
5.14,7.7166,21638.765,201.51620412745584,8507.59,175.35,175.35,717.719,2.074,11.037,25.587,0.506,0.95,0.989,Выше среднего
6.175,9.25992,29797.061,241.61591163689644,8842.865,246.305,246.305,784.846,2.496,13.164,34.745,0.688,0.95,0.989,Выше среднего
7.148,10.80324,38976.661,280.44735819208285,9139.469,332.072,332.072,840.29,2.955,15.439,44.747,0.886,0.95,0.989,Сильный
8.206,12.34656,50997.254,323.33512446182925,9323.622,438.133,438.133,937.696,3.564,18.334,61.091,1.209,0.95,0.989,Сильный
9.3,13.88988,72773.853,372.8477765997107,9789.231,645.058,645.058,1103.336,4.48,22.43,91.079,1.803,0.95,0.989,Сильный
1.138,1.54332,3716.231,136.98862406100733,6693.633,5.337,5.337,582.833,1.212,6.55,33.388,0.241,0.95,0.99,Слабый
2.088,3.08664,5609.242,141.1469408170539,6849.289,23.017,23.017,594.393,1.283,6.925,22.981,0.25,0.95,0.99,Слабый
3.144,4.6299600000000005,8380.817,145.22179592827013,7150.696,60.381,60.381,593.689,1.387,7.464,12.577,0.249,0.95,0.99,Ниже среднего
4.161,6.17328,14725.672,162.05120305379552,7822.975,113.813,113.813,648.143,1.654,8.872,17.472,0.346,0.95,0.99,Ниже среднего
5.14,7.7166,21639.049,201.5163088472109,8508.51,175.304,175.304,716.754,2.074,11.026,25.532,0.505,0.95,0.99,Выше среднего
6.175,9.25992,29797.33,241.6151785986106,8843.898,246.366,246.366,783.758,2.496,13.15,34.673,0.687,0.95,0.99,Выше среднего
7.148,10.80324,38976.329,280.4475676315932,9139.976,332.101,332.101,839.27,2.954,15.423,44.667,0.884,0.95,0.99,Сильный
8.206,12.34656,50997.156,323.3348103025639,9323.977,438.037,438.037,936.687,3.563,18.313,60.996,1.208,0.95,0.99,Сильный
9.3,,72774.979,372.8477765997107,9789.971,644.927,644.927,1102.466,4.479,22.404,90.975,1.801,0.95,0.99,Сильный
1.138,1.54332,2639.688,136.93940577610107,6694.715,5.304,5.304,551.016,1.177,6.346,32.625,0.204,0.95,0.991,Слабый
2.088,,5612.283,141.15029184921772,6851.841,23.027,23.027,593.577,1.283,6.918,22.796,0.25,0.95,0.991,Слабый
3.144,4.6299600000000005,8380.894,145.22190064802524,7153.292,60.37,60.37,592.882,1.387,7.457,12.544,0.248,0.95,0.991,Ниже среднего
4.161,6.17328,14725.901,162.05120305379552,7825.024,113.811,113.811,647.273,1.654,8.863,17.43,0.345,0.95,0.991,Ниже среднего
5.14,7.7166,21639.262,201.5165182867212,8509.428,175.306,175.306,715.792,2.074,11.014,25.476,0.504,0.95,0.991,Выше среднего
6.175,9.25992,29797.514,241.61434084056964,8844.927,246.284,246.284,782.673,2.496,13.137,34.602,0.685,0.95,0.991,Выше среднего
7.148,10.80324,38976.119,280.44735819208285,9140.483,332.145,332.145,838.254,2.954,15.406,44.587,0.883,0.95,0.991,Сильный
8.206,12.34656,50997.004,323.3348103025639,9324.33,438.074,438.074,935.682,3.562,18.292,60.901,1.206,0.95,0.991,Сильный
9.3,13.88988,72775.879,372.847986039221,9790.704,645.046,645.046,1101.598,4.478,22.377,90.872,1.799,0.95,0.991,Сильный
1.138,1.54332,1746.991,137.22853701998648,6697.848,5.445,5.445,521.736,1.147,6.173,29.309,0.168,0.95,0.992,Слабый
2.088,3.08664,5259.425,140.9701738704119,6853.352,22.708,22.708,583.693,1.272,6.849,23.154,0.239,0.95,0.992,Слабый
3.144,4.6299600000000005,8381.008,145.22190064802524,7155.892,60.375,60.375,592.076,1.387,7.45,12.51,0.248,0.95,0.992,Ниже среднего
4.161,6.17328,14725.856,162.05130777355063,7827.052,113.815,113.815,646.403,1.654,8.854,17.388,0.344,0.95,0.992,Ниже среднего
5.14,,21639.277,201.51672772623144,8510.342,175.305,175.305,714.831,2.074,11.003,25.421,0.503,0.95,0.992,Выше среднего
6.175,9.25992,29797.827,241.6139219615492,8845.964,246.326,246.326,781.591,2.495,13.123,34.532,0.684,0.95,0.992,Выше среднего
7.148,10.80324,38975.735,280.447462911838,9140.988,332.111,332.111,837.239,2.953,15.389,44.508,0.881,0.95,0.992,Сильный
8.206,12.34656,50996.889,323.33460086305365,9324.684,437.976,437.976,934.68,3.561,18.271,60.807,1.204,0.95,0.992,Сильный
9.3,13.88988,72775.917,372.84840491824144,9791.421,644.946,644.946,1100.727,4.477,22.35,90.768,1.797,0.95,0.992,Сильный
1.138,1.54332,530.989,138.68634073100728,6707.512,6.181,6.181,473.949,1.103,5.916,19.388,0.108,0.95,0.993,Слабый
2.088,3.08664,5302.58,140.9855676744145,6856.03,22.737,22.737,583.962,1.273,6.848,22.888,0.239,0.95,0.993,Слабый
3.144,,8381.135,145.22200536778033,7158.493,60.377,60.377,591.272,1.387,7.443,12.477,0.247,0.95,0.993,Ниже среднего
4.161,6.17328,14725.965,162.05141249330575,7829.095,113.81,113.81,645.537,1.654,8.845,17.346,0.343,0.95,0.993,Ниже среднего
5.14,7.7166,21639.548,201.5169371657417,8511.262,175.328,175.328,713.874,2.073,10.992,25.366,0.502,0.95,0.993,Выше среднего
6.175,9.25992,29797.93,241.612874763998,8846.989,246.295,246.295,780.513,2.495,13.11,34.461,0.682,0.95,0.993,Выше среднего
7.148,10.80324,38975.494,280.44735819208285,9141.495,332.06,332.06,836.228,2.952,15.372,44.428,0.88,0.95,0.993,Сильный
8.206,,50996.781,323.3342867037883,9325.036,437.981,437.981,933.68,3.56,18.25,60.713,1.202,0.95,0.993,Сильный
9.3,,72776.92,372.847986039221,9792.146,644.936,644.936,1099.863,4.476,22.323,90.666,1.795,0.95,0.993,Сильный
1.138,1.54332,305.706,139.5281828424142,6714.84,6.616,6.616,460.882,1.094,5.85,14.834,0.089,0.95,0.994,Слабый
2.088,3.08664,5179.159,140.93237003881373,6858.196,22.643,22.643,579.983,1.269,6.824,23.23,0.235,0.95,0.994,Слабый
3.144,4.6299600000000005,8381.186,145.22211008753547,7161.089,60.378,60.378,590.47,1.387,7.436,12.444,0.246,0.95,0.994,Ниже среднего
4.161,6.17328,14726.047,162.05141249330575,7831.137,113.812,113.812,644.672,1.654,8.836,17.305,0.343,0.95,0.994,Ниже среднего
5.14,7.7166,21639.721,201.51714660525192,8512.18,175.31,175.31,712.918,2.073,10.981,25.311,0.501,0.95,0.994,Выше среднего
6.175,9.25992,29798.176,241.61245588497744,8848.022,246.297,246.297,779.437,2.495,13.096,34.391,0.681,0.95,0.994,Выше среднего
7.148,10.80324,38975.179,280.44735819208285,9142.0,332.094,332.094,835.219,2.952,15.356,44.349,0.878,0.95,0.994,Сильный
8.206,12.34656,50996.595,323.33397254452296,9325.39,438.082,438.082,932.683,3.559,18.23,60.619,1.2,0.95,0.994,Сильный
9.3,13.88988,72777.297,372.8487190775068,9792.862,645.143,645.143,1098.999,4.474,22.297,90.563,1.793,0.95,0.994,Сильный
1.138,1.54332,314.48,141.31574906230676,6728.353,7.553,7.553,451.45,1.096,5.843,4.567,0.071,0.95,0.995,Слабый
2.088,3.08664,5228.006,140.94954407865333,6860.889,22.671,22.671,580.5,1.27,6.825,23.174,0.236,0.95,0.995,Слабый
3.144,4.6299600000000005,8381.319,145.22211008753547,7163.691,60.387,60.387,589.669,1.387,7.429,12.41,0.246,0.95,0.995,Ниже среднего
4.161,6.17328,14726.15,162.05151721306086,7833.182,113.817,113.817,643.809,1.653,8.827,17.263,0.342,0.95,0.995,Ниже среднего
5.14,7.7166,21639.876,201.51735604476207,8513.098,175.327,175.327,711.965,2.073,10.97,25.256,0.5,0.95,0.995,Выше среднего
6.175,9.25992,29798.329,241.6118275664468,8849.051,246.38,246.38,778.365,2.494,13.083,34.321,0.68,0.95,0.995,Выше среднего
7.148,10.80324,38974.892,280.44735819208285,9142.505,332.105,332.105,834.213,2.951,15.339,44.27,0.877,0.95,0.995,Сильный
8.206,12.34656,50995.647,323.3317734296654,9325.777,438.073,438.073,931.663,3.558,18.209,60.524,1.198,0.95,0.995,Сильный
9.3,13.88988,72778.944,372.8501851540785,9793.593,644.866,644.866,1098.146,4.473,22.27,90.461,1.791,0.95,0.995,Сильный
1.138,1.54332,497.385,142.35205575897095,6737.583,8.111,8.111,454.607,1.104,5.882,0.0,0.072,0.95,0.996,Слабый
2.088,3.08664,4826.301,140.82052934034593,6862.678,22.448,22.448,569.036,1.258,6.745,23.176,0.222,0.95,0.996,Слабый
3.144,4.6299600000000005,8381.37,145.22221480729058,7166.289,60.382,60.382,588.87,1.386,7.422,12.377,0.245,0.95,0.996,Ниже среднего
4.161,6.17328,14726.291,162.05151721306086,7835.232,113.821,113.821,642.949,1.653,8.819,17.222,0.341,0.95,0.996,Ниже среднего
5.14,7.7166,21640.062,201.51746076451727,8514.017,175.312,175.312,711.015,2.072,10.959,25.202,0.499,0.95,0.996,Выше среднего
6.175,9.25992,29798.462,241.61130396767115,8850.081,246.328,246.328,777.295,2.494,13.069,34.251,0.678,0.95,0.996,Выше среднего
7.148,10.80324,38974.631,280.44735819208285,9143.01,332.11,332.11,833.209,2.951,15.323,44.191,0.875,0.95,0.996,Сильный
8.206,,50995.184,323.3303073530938,9326.171,438.116,438.116,930.649,3.558,18.189,60.429,1.196,0.95,0.996,Сильный
9.3,13.88988,72779.364,372.8612854481211,9794.325,645.15,645.15,1097.297,4.472,22.244,90.36,1.789,0.95,0.996,Сильный
